,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156
0,1.0,738.0,713.0,1085.0,1075.0,328.0,390.0,655.0,716.0,693.0,695.0,-71.0,604729.0,272322.0,263948.0,411364.0,407407.0,131393.0,147332.0,260339.0,268188.0,275178.0,256240.0,-33054532.830872644,226015867.16912767,262246.0,254184.5,396290.0,392752.0,126704.0,141811.0,250684.0,258490.0,265056.0,246899.0,-30484672.19619388,217785727.80380648,389366.0,377315.0,588612.5,584089.0,188717.0,210731.0,373154.0,383956.0,394574.0,366718.0,-48060609.731204346,323545790.26879627,385943.0,373723.0,582286.0,577812.5,186260.0,208215.0,368393.0,379968.0,389441.0,362739.0,-46741537.47447203,320156062.52552867,110671.0,107160.0,167163.0,166340.0,53792.0,59879.0,106259.0,109151.0,112425.0,104103.0,-15083699.57882046,91965900.42117941,140488.0,136259.0,212419.0,211035.0,68041.0,76050.0,134593.0,138548.0,142207.0,132151.0,-15919124.926569954,116791275.07343024,223051.0,216331.0,337521.0,335732.0,108581.0,120857.0,214512.5,220260.0,226643.0,209919.0,-28586019.799126137,185599580.20087376,260220.0,252018.0,392904.0,389732.0,125697.0,140692.0,248720.0,256328.0,262990.0,244957.0,-31425877.775671005,216023722.2243284,236256.0,229053.0,357331.0,355534.0,114879.0,128063.0,227272.0,233198.0,240124.5,222526.0,-29996272.655122533,196587727.3448776,256670.0,248636.0,387357.0,384386.0,123857.0,138899.0,245306.0,252663.0,259109.0,241512.5,-30021863.726387344,213064536.27361217,33002134.830872662,30434049.196193848,47983574.73120446,46665212.474471994,15060411.578820474,15891434.926569939,28539514.799126092,31375041.775671,29947069.655122496,29972518.72638741,2520.5000081062317,25993380228.901512,220274134.8308725,213386049.19619396,332585174.73120403,329927612.4744724,106385211.57882053,119053034.92656998,210497914.7991262,216962241.7756709,222489469.65512258,207222118.72638744,-26036315987.901566,182848581720.50012
1,1.0,713.0,723.0,1089.0,1063.0,366.0,391.0,682.0,720.0,746.0,701.0,-23.878184020053595,604776.12181598,254184.5,267581.0,391935.0,392406.0,139997.0,139308.0,245416.0,261132.0,276185.0,246097.0,-31103324.745955274,219327075.2540445,247918.0,261364.5,382444.0,383066.0,137042.0,135649.0,239355.0,254881.0,269921.0,240168.0,-30720907.509112652,214050292.4908871,384522.0,404903.0,592960.5,594039.0,212238.0,210328.0,371020.0,394953.0,418069.0,372360.0,-47170037.8560418,331780362.1439598,365513.0,385483.0,563568.0,564984.5,202197.0,199716.0,352578.0,375671.0,397802.0,353702.0,-45859461.28315993,315508538.7168393,120961.0,127576.0,186336.0,186861.0,66978.0,66012.0,116588.0,124290.0,131777.0,117123.0,-16242132.679389771,104372267.32061037,139475.0,147044.0,215471.0,215917.0,77094.0,76440.5,134810.0,143404.0,151772.0,135050.0,-15755970.013118632,120496829.98688135,240850.0,253731.0,371678.0,372388.0,133024.0,131852.0,232562.0,247565.0,261911.0,233098.0,-28916050.187655848,207906349.81234443,252228.0,265679.0,389127.0,389689.0,139230.0,138116.0,243475.0,259200.0,274460.0,244525.0,-31080765.18413572,217751234.8158642,255713.0,269437.0,394325.0,395196.0,141259.0,139914.0,246861.0,262660.0,278258.0,247661.0,-31668054.534241702,220706345.4657583,253716.0,266655.0,391029.0,391461.0,139443.0,139041.0,244984.0,260195.0,275285.0,245700.5,-30636754.33729568,218756845.66270408,31086299.600749068,30703643.582066156,47144034.51364398,45834078.77354666,16233393.26403844,15746633.643166803,28899765.266154144,31063572.891641278,31650241.40896271,30620015.730297677,285.08385321390915,25886095148.200565,211878299.60074922,223202843.582066,326820834.51364434,327368478.77354664,116975793.26403852,115970633.64316672,204550965.266154,217687572.89164126,230456641.40896288,205191215.7302977,-25900536103.728012,182877078759.38895
2,1.0,685.0,724.0,1090.0,1092.0,387.0,390.0,691.0,716.0,747.0,677.0,-120.0,604680.0,234612.5,250088.0,368024.0,368389.0,134155.0,129998.0,229437.0,238969.0,254566.0,231555.0,-29729058.684010692,204544541.31598905,245852.0,262088.0,385864.0,386116.0,140717.0,136125.0,240653.0,250463.0,266827.0,242844.0,-30425560.862930793,214388839.13706926,378626.0,403296.0,594050.0,594540.0,216292.0,209545.0,370425.0,385588.0,410494.0,373535.0,-47866915.61932828,329960284.38067144,379631.0,404492.0,595740.0,596232.0,216932.0,210280.0,371484.0,386677.0,411762.0,374475.0,-47495183.80033016,330936816.1996699,130940.0,139471.0,205538.0,205672.0,74884.5,72524.0,128224.0,133431.0,142062.0,129287.0,-17859606.768108584,114159593.23189147,137152.0,146235.0,215555.0,215600.0,78406.0,76050.0,134303.0,139850.0,148807.0,135314.0,-15873982.357514895,119644417.64248529,243898.0,259631.0,382765.0,383088.0,139193.0,135187.0,238740.5,248402.0,264323.0,240404.0,-29540997.146564804,212551802.8534352,251491.0,267921.0,394852.0,395195.0,143661.0,139390.0,246354.0,256328.0,272915.0,248348.0,-31689311.06924746,219345888.93075272,257129.0,274001.0,403736.0,403962.0,147027.0,142523.0,251854.0,261937.0,279004.5,253953.0,-31946381.413265288,224229618.58673465,232190.0,247304.0,364395.0,364809.0,132712.0,128716.0,227403.0,236384.0,251766.0,229164.5,-29503363.681847632,202437436.31815198,29646858.684010632,30338680.862930827,47736115.61932846,47364143.80033029,17813166.768108554,15827182.357514838,29458077.146564767,31603391.06924744,31856741.41326533,29422123.681847654,7200.000012874603,25938927138.395782,209661258.6840104,223399480.86293074,329140915.6193281,329373743.80033046,119851566.76810856,116180782.35751495,205282077.14656472,213604991.06924713,227466341.4132654,206930923.6818477,-26011488738.395805,182818951199.99933
3,1.0,710.0,750.0,1087.0,1089.0,387.0,366.0,674.0,714.0,740.0,682.0,-7.0,604793.0,252050.0,264871.0,386082.0,388944.0,140036.0,126124.0,242188.0,256095.0,257920.0,244291.0,-29989918.54736929,215126881.4526304,267629.0,281250.0,410236.0,412922.0,148645.0,133945.0,257104.0,271715.0,273952.0,259450.0,-32099983.06667592,228396016.9333244,385688.0,405014.0,590784.5,594779.0,214005.0,192688.0,370219.0,391506.0,394366.0,373707.0,-47866023.45101118,328924376.5489888,384246.0,403828.0,588964.0,592960.5,213630.0,192511.0,369415.0,390307.0,393337.0,372580.0,-46953035.86960927,328022964.1303908,134734.0,141605.0,206664.0,207813.0,74884.5,67490.0,129601.0,136857.0,137767.0,130686.0,-17801281.659780078,114995518.34022003,133736.0,140555.0,205154.0,206063.0,74152.0,66978.0,128162.0,135793.0,136783.0,129489.0,-15319071.712647635,114064928.28735226,236352.0,248396.0,362419.0,364571.0,131237.0,118522.0,227138.0,239935.0,241728.0,229031.0,-28906558.357188385,201695041.64281178,250845.0,263785.0,384612.0,387239.0,139461.0,125531.0,241301.0,254898.0,256868.0,243478.0,-31245055.1507633,214217344.8492363,267480.0,281048.0,410014.0,412523.0,148613.0,134057.0,257032.0,271492.0,273800.0,259402.0,-32154271.98279,228255328.0172095,239929.0,252050.0,367627.0,370118.0,133248.0,120123.0,230637.0,243470.0,245278.0,232562.0,-29077801.322745323,204720598.67725432,29984948.54736934,32094733.0666759,47858414.45101108,46945412.869609304,17798572.659780055,15316509.71264763,28901840.35718843,31240057.150763232,32149091.98278999,29073027.32274537,24.500010013580322,25938945579.389217,214276148.54736936,225198733.06667596,328485614.4510114,330596612.8696087,119059372.65978006,107289309.71264763,205935440.3571884,217604857.15076345,219291491.9827898,207748227.32274508,-25943179130.38922,182887286424.49985
4,1.0,726.0,750.0,1098.0,1059.0,365.0,350.0,695.0,702.0,717.0,721.0,-125.33601303014439,604674.6639869699,263538.0,266596.0,403391.0,373650.0,121903.0,123129.0,252746.0,252881.0,248340.0,266775.0,-30784187.225558214,217140612.7744414,277904.0,281250.0,425567.0,394137.0,128638.0,129948.0,266485.0,266575.0,262100.0,281227.0,-32554002.40816378,229021997.5918356,393757.0,397933.0,602802.0,557528.0,181419.0,183457.0,377140.0,377146.0,370300.0,398513.0,-48236817.04307118,324060782.95692915,395184.0,400113.0,605254.0,560740.5,183089.0,185047.0,379370.0,379365.0,372830.0,400020.0,-45652796.333519995,325867203.6664807,143087.0,145112.0,219351.0,203446.0,66612.5,67251.0,137331.0,137577.0,135379.0,144586.0,-16930537.65582928,118112662.3441708,130971.0,132552.0,200843.0,185603.0,60499.0,61250.0,125312.0,125803.0,123374.0,132389.0,-14993388.960250527,107910611.03974935,251824.0,254765.0,385970.0,356635.0,116344.0,117938.0,241512.5,241413.0,237034.0,255027.0,-29842449.64202429,207455150.35797554,256771.0,259925.0,393650.0,364053.0,118653.0,119897.0,246477.0,246402.0,241924.0,260249.0,-30429456.83404169,211663343.16595802,272202.0,275650.0,416966.0,386473.0,126326.0,127576.0,261281.0,261410.0,257044.5,275502.0,-31412791.053324915,224504008.9466748,256671.0,259523.0,393145.0,363519.0,118579.0,119961.0,246068.0,245893.0,241455.0,259920.5,-31125589.653468266,211356010.3465317,30693193.28009837,32460000.39839118,48099198.10076482,45520065.49572128,16884790.011073235,14949521.35568998,29755341.11296826,30341470.95289447,31322925.131982252,31035222.388073515,7854.558090591687,25982746675.801876,221853193.2800994,224484000.39839152,339871998.1007668,314483265.4957227,102593590.01107328,103725521.35568999,212793741.11296922,212818270.95289516,209047725.1319831,224614422.38807395,-26058534187.366425,182815724633.8788
5,1.0,713.0,746.0,1121.0,1036.0,337.0,354.0,681.0,737.0,716.0,701.0,-10.790782058727928,604789.2092179413,254184.5,271899.0,408055.0,366341.0,117754.0,120667.0,243620.0,273347.0,259050.0,251662.0,-30083068.179370545,217323331.82062966,259999.0,278258.0,417763.0,374753.0,120360.0,123403.0,249108.0,279521.0,265165.0,257552.0,-32262609.69472639,222358190.3052735,391218.0,418503.0,628320.5,564091.0,181109.0,185360.0,374372.0,420502.0,398857.0,387011.0,-49278095.6211123,334381104.37888736,372327.0,398103.0,597265.0,536648.0,172575.0,176705.0,357159.0,399635.0,379071.0,368910.0,-45018916.94698508,318249883.053015,122527.0,131042.0,196668.0,176557.0,56784.5,58170.0,117502.0,131399.0,124653.0,121376.0,-15391280.353418581,104704719.64658135,131735.0,140681.0,211474.0,190039.0,61128.0,62658.0,125938.0,141273.0,133985.0,130173.0,-14911457.553170394,112528542.44682933,241933.0,258918.0,389029.0,348357.0,111995.0,115136.0,231880.5,260231.0,246459.0,239588.0,-28686881.647513118,206882718.35248697,252134.0,270281.0,405675.0,363897.0,116970.0,119625.0,241666.0,271584.5,257568.0,249621.0,-31106925.233948067,215824274.76605222,251458.0,268971.0,403779.0,362705.0,116639.0,119479.0,241137.0,270124.0,256328.0,249221.0,-31536627.9721926,215048972.02780744,248151.0,265394.0,398810.0,357326.0,114861.0,117981.0,237793.0,267016.0,252695.0,245700.5,-30491894.835242733,212162505.1647571,30075374.351762384,32254559.77131044,49265999.15442398,45007737.69677195,15387643.859864727,14907637.61632156,28679533.124930896,31098972.42757064,31528901.772238266,30484330.497019436,58.22048475038059,25951369271.275066,213891374.35176396,228814559.7713111,343587599.1544246,308311737.6967726,99109243.85986495,101566837.6163216,204978733.12493232,229905372.4275717,217980101.7722398,211794730.4970202,-25957895419.82325,182884993793.2317
6,1.0,734.0,748.0,1116.0,1039.0,346.0,338.0,671.0,745.0,709.0,712.0,-70.0,604730.0,269378.0,270249.0,405558.0,372165.0,129408.0,127508.0,230002.0,270250.0,256749.0,251360.0,-30596310.907066703,217285289.09293285,278783.0,279752.0,419664.0,385334.0,133898.0,131746.0,237968.0,279461.0,265865.0,260212.0,-32507780.311504684,224877819.68849534,413586.0,415104.0,622728.0,571791.0,198723.0,195402.0,352556.0,414687.0,394596.0,385706.0,-49134801.65372952,333573998.3462704,390461.0,391838.0,587733.0,539760.5,187610.0,184642.0,334129.0,391361.0,371978.0,364842.0,-44867903.10304734,315074496.89695275,124556.0,124910.0,187413.0,171884.0,59858.0,59031.0,106225.0,124608.0,118538.0,116212.0,-15473580.703627821,100388819.29637237,120584.0,121078.0,181806.0,166540.0,57917.0,57122.0,102577.0,120973.0,114970.0,112284.0,-14477580.026665112,97237619.97333512,262512.0,263940.0,396280.0,363040.0,125941.0,124221.0,225120.5,263909.0,250623.0,245584.0,-29250585.891764097,212151014.10823593,276580.0,277799.0,416733.0,382694.0,133162.0,130837.0,235986.0,277512.5,264148.0,258010.0,-31423821.81847161,223240178.18152854,263657.0,264467.0,396648.0,364673.0,126776.0,124672.0,225116.0,264057.0,251340.5,246063.0,-30324855.1252297,212631944.87477037,271248.0,272364.0,408886.0,374926.0,130140.0,128372.0,232168.0,272430.0,258745.0,253472.0,-31075609.30343817,219009190.69656205,30544930.907066736,32455420.31150463,49056681.65372952,44795173.10304734,15449360.703627832,14453920.0266651,29203615.891764116,31371671.818471573,30275225.125229783,31025769.30343813,2450.000003854577,25963805358.9156,226586530.9070666,227460220.31150445,341304681.65372896,313239973.1030475,108847760.70362782,107161120.02666508,193622815.89176413,227283671.81847137,216121625.1252298,211558569.30343807,-26006136458.915524,182849186449.99994
7,1.0,744.0,745.0,1127.0,1057.0,339.0,361.0,670.0,744.0,709.0,686.0,-37.37375881522894,604762.6262411848,276768.0,276741.0,415307.0,401229.0,126279.0,137711.0,249064.0,267117.0,264183.0,248893.0,-30803587.33489132,223990012.66510895,277539.0,277512.5,416225.0,402490.0,126934.0,137911.0,249408.0,267679.0,265048.0,249567.0,-32214754.658224493,224566045.34177542,423181.0,423390.0,635064.5,613766.0,193427.0,209969.0,380142.0,408453.0,404374.0,380650.0,-50646472.84688697,342473527.1531137,385179.0,384975.0,577473.0,558624.5,175862.0,191633.0,346598.0,371083.0,367308.0,346239.0,-45414358.19012768,311590441.8098729,125937.0,125621.0,188626.0,182461.0,57460.5,62591.0,112984.0,121229.0,119990.0,113109.0,-15058853.405428076,101753946.59457186,130873.0,131034.0,196878.0,189944.0,59788.0,65160.5,117771.0,126481.0,125008.0,117736.0,-15883277.691329617,106027122.30867052,249416.0,249742.0,374948.0,361592.0,114146.0,124099.0,224450.0,241333.0,238418.0,224511.0,-28683516.70721663,202047683.2927835,286419.0,286601.0,430035.0,415325.0,130987.0,142103.0,257147.0,276768.0,273956.0,257706.0,-31695334.330399126,231867865.66960037,263313.0,263157.0,394669.0,382105.0,120361.0,130941.0,236612.0,253540.0,251340.5,236643.0,-30076195.413421225,212967004.58657908,261491.0,261503.0,392472.0,378863.0,119445.0,129910.0,235109.0,252678.0,249731.0,235298.0,-29374142.794213243,211638657.2057866,30775781.258332584,32186911.207907114,50604352.62070173,45374854.12705965,15046183.701189749,15869785.764397338,28658476.288810354,31667528.253840547,30049697.418421004,29348504.39566586,698.3989253311174,25962076161.178135,225953381.25833374,225982111.20790806,339093952.6207044,327643654.1270617,103260583.70118982,112292185.76439746,203143276.28881124,218075528.25384125,215809697.41842225,203228504.39566654,-25984678413.71181,182868917049.06866
8,1.0,782.0,734.0,1063.0,1131.0,365.0,344.0,687.0,701.0,715.0,700.0,-27.386771768331528,604772.6132282317,305762.0,270635.0,391971.0,445357.0,139598.0,130814.0,274291.0,256348.0,267061.0,273575.0,-33228910.262227505,230118289.73777252,303353.0,269378.0,390502.0,441899.0,138688.0,130358.0,272095.0,255146.0,265843.0,271945.0,-32012894.70243048,228828705.29756936,439295.0,389740.0,564984.5,640064.0,200524.0,188691.0,394381.0,368986.0,384793.0,394143.0,-46343974.83487558,331267225.1651242,439085.0,388255.0,562189.0,639580.5,200681.0,187659.0,393925.0,367783.0,383206.0,393048.0,-48318109.50395479,330329890.49604535,145832.0,129222.0,187471.0,212134.0,66612.5,62496.0,130532.0,122644.0,127493.0,130547.0,-15877126.928938506,109834873.07106149,138194.0,122138.0,176981.0,201405.0,63064.0,59168.0,124176.0,115646.0,120640.0,123950.0,-14781704.2180669,104018295.78193305,262943.0,232163.0,335900.0,383072.0,120223.0,112152.0,235984.5,219789.0,229307.0,235410.0,-30069481.25089505,197637718.74910533,291834.0,259388.0,376177.0,425048.0,133221.0,125498.0,261798.0,245700.5,256084.0,261857.0,-30409500.156077728,220280099.8439228,292069.0,258967.0,375252.0,425459.0,133482.0,125320.0,261898.0,245131.0,255612.5,261778.0,-29660358.233261213,220078841.76673877,273825.0,241855.0,349957.0,398652.0,124953.0,116850.0,245490.0,228843.0,238722.0,245000.0,-29492696.335107017,205774503.6648931,33207493.806704685,31992792.81195253,46314862.69648593,48287135.06508487,15867130.757243065,14772283.168578591,30050666.53869021,30390302.029068135,29640776.691446822,29473525.59486919,375.0176380267999,25976482745.182205,242813893.80670494,215074392.81195226,311606062.6964854,353667935.06508356,110907130.75724308,104023483.16857871,217841066.53869027,203665502.029068,212333576.69144693,217566325.59486896,-25993045514.712524,182874956855.4522
9,1.0,782.0,732.0,1055.0,1114.0,348.0,353.0,705.0,676.0,709.0,728.0,-57.0,604743.0,305762.0,295851.0,409600.0,441019.0,140524.0,136078.0,284727.0,261208.0,281339.0,293642.0,-33257741.996647768,239593458.00335255,276573.0,267912.0,370827.0,399409.0,127298.0,123471.0,257967.0,236157.0,255013.0,266382.0,-31957927.140207723,217046872.85979244,415410.0,401433.0,556512.5,600171.0,190932.0,185287.0,387384.0,354700.0,382624.0,399720.0,-44827657.87925305,325741942.1207481,430129.0,416039.0,575099.0,620498.0,197900.0,191138.0,400786.0,366831.0,395698.0,413631.0,-47939647.79456729,336972352.2054324,131612.0,127438.0,176208.0,189772.0,60552.0,58496.0,122574.0,112431.0,121143.0,126609.0,-15035106.995718282,103160093.00428164,139968.0,134925.0,187128.0,202104.0,64348.0,62304.5,130368.0,119337.0,128668.0,134510.0,-15340324.367713936,109594075.63228619,266583.0,258093.0,356391.0,384584.0,122766.0,118497.0,248512.5,227200.0,245453.0,256740.0,-30484539.96804242,208929860.03195748,267424.0,258675.0,358480.0,386233.0,122817.0,119291.0,249380.0,228488.0,246453.0,257157.0,-28940340.563825577,209739659.43617374,273099.0,263975.0,365371.0,394128.0,125589.0,121609.0,254392.0,232831.0,251340.5,262662.0,-29990445.619055815,213959954.38094422,275654.0,266514.0,368320.0,397361.0,126735.0,122474.0,256500.0,234971.0,253490.0,264992.0,-30351210.077662483,215845589.92233783,33213167.99664775,31916203.14020766,44767522.879253075,47876149.79456722,15015270.995718276,15320203.367713943,30444354.96804246,28901808.563825544,29950032.619055714,30309714.07766246,1624.500005033613,25891162157.70269,233315567.99664786,225625003.14020768,312261922.8792529,336711349.7945665,107290470.99571824,103880203.36771394,217413954.96804234,199066608.56382546,214802832.61905587,224407314.07766283,-25925632508.702705,182857048024.50037
